Date,Centre_Name,Commodity_Name,Price
03-01-2013,NAGPUR,Potato,17
03-01-2013,JAIPUR,Potato,10
03-01-2013,JODHPUR,Potato,10
03-01-2013,KOTA,Potato,7
03-01-2013,PATNA,Potato,NA
03-01-2013,BHAGALPUR,Potato,NA
03-01-2013,RANCHI,Potato,NA
03-01-2013,BHUBANESHWAR,Potato,12
03-01-2013,CUTTACK,Potato,13
03-01-2013,SAMBALPUR,Potato,13
03-01-2013,KOLKATA,Potato,12
03-01-2013,SILIGURI,Potato,10
03-01-2013,PORT BLAIR,Potato,24
03-01-2013,ITANAGAR,Potato,NA
03-01-2013,GUWAHATI,Potato,10
03-01-2013,SHILLONG,Potato,NA
03-01-2013,AIZWAL,Potato,NA
03-01-2013,DIMAPUR,Potato,NA
03-01-2013,AGARTALA,Potato,20
03-01-2013,VIJAYWADA,Potato,19
03-01-2013,BENGALURU,Potato,22
03-01-2013,DHARWAD,Potato,18
03-01-2013,T.PURAM,Potato,27
03-01-2013,ERNAKULAM,Potato,27
03-01-2013,KOZHIKODE,Potato,23
03-01-2013,PUDUCHERRY,Potato,22
03-01-2013,CHENNAI,Potato,20
03-01-2013,DINDIGUL,Potato,25
03-01-2013,THIRUCHIRAPALLI,Potato,20
03-01-2013,HYDERABAD,Potato,20
04-01-2013,CHANDIGARH,Potato,9
04-01-2013,DELHI,Potato,11
04-01-2013,HISAR,Potato,9
04-01-2013,KARNAL,Potato,9
04-01-2013,SHIMLA,Potato,NA
04-01-2013,MANDI,Potato,16
04-01-2013,SRINAGAR,Potato,20
04-01-2013,JAMMU,Potato,15
04-01-2013,AMRITSAR,Potato,10
04-01-2013,LUDHIANA,Potato,10
04-01-2013,BATHINDA,Potato,9
04-01-2013,LUCKNOW,Potato,10
04-01-2013,KANPUR,Potato,8
04-01-2013,VARANASI,Potato,10
04-01-2013,AGRA,Potato,10
04-01-2013,DEHRADUN,Potato,12
04-01-2013,RAIPUR,Potato,16
04-01-2013,PANAJI,Potato,NA
04-01-2013,AHMEDABAD,Potato,18
04-01-2013,RAJKOT,Potato,16
04-01-2013,BHOPAL,Potato,15
04-01-2013,INDORE,Potato,15
04-01-2013,GWALIOR,Potato,15
04-01-2013,JABALPUR,Potato,10
04-01-2013,MUMBAI,Potato,22
04-01-2013,NAGPUR,Potato,17
04-01-2013,JAIPUR,Potato,10
04-01-2013,JODHPUR,Potato,10
04-01-2013,KOTA,Potato,7
04-01-2013,PATNA,Potato,NA
04-01-2013,BHAGALPUR,Potato,NA
04-01-2013,RANCHI,Potato,NA
04-01-2013,BHUBANESHWAR,Potato,13
04-01-2013,CUTTACK,Potato,13
04-01-2013,SAMBALPUR,Potato,13
04-01-2013,KOLKATA,Potato,11
04-01-2013,SILIGURI,Potato,10
04-01-2013,PORT BLAIR,Potato,24
04-01-2013,ITANAGAR,Potato,NA
04-01-2013,GUWAHATI,Potato,10
04-01-2013,SHILLONG,Potato,18
04-01-2013,AIZWAL,Potato,30
04-01-2013,DIMAPUR,Potato,20
04-01-2013,AGARTALA,Potato,18
04-01-2013,VIJAYWADA,Potato,21
04-01-2013,BENGALURU,Potato,21
04-01-2013,DHARWAD,Potato,18
04-01-2013,T.PURAM,Potato,27
04-01-2013,ERNAKULAM,Potato,27
04-01-2013,KOZHIKODE,Potato,23
04-01-2013,PUDUCHERRY,Potato,24
04-01-2013,CHENNAI,Potato,20
04-01-2013,DINDIGUL,Potato,25
04-01-2013,THIRUCHIRAPALLI,Potato,20
04-01-2013,HYDERABAD,Potato,20
07-01-2013,CHANDIGARH,Potato,9
07-01-2013,DELHI,Potato,10
07-01-2013,HISAR,Potato,9
07-01-2013,KARNAL,Potato,9
07-01-2013,SHIMLA,Potato,NA
07-01-2013,MANDI,Potato,16
07-01-2013,SRINAGAR,Potato,20
07-01-2013,JAMMU,Potato,15
07-01-2013,AMRITSAR,Potato,10
07-01-2013,LUDHIANA,Potato,10
07-01-2013,BATHINDA,Potato,6
07-01-2013,LUCKNOW,Potato,10
07-01-2013,KANPUR,Potato,8
07-01-2013,VARANASI,Potato,10
07-01-2013,AGRA,Potato,8
07-01-2013,DEHRADUN,Potato,12
07-01-2013,RAIPUR,Potato,16
07-01-2013,PANAJI,Potato,NA
07-01-2013,AHMEDABAD,Potato,18
07-01-2013,RAJKOT,Potato,18
07-01-2013,BHOPAL,Potato,15
07-01-2013,INDORE,Potato,15
07-01-2013,GWALIOR,Potato,NA
07-01-2013,JABALPUR,Potato,14
07-01-2013,MUMBAI,Potato,22
07-01-2013,NAGPUR,Potato,17
07-01-2013,JAIPUR,Potato,10
07-01-2013,JODHPUR,Potato,12
07-01-2013,KOTA,Potato,7
07-01-2013,PATNA,Potato,13
07-01-2013,BHAGALPUR,Potato,8
07-01-2013,RANCHI,Potato,NA
07-01-2013,BHUBANESHWAR,Potato,12
07-01-2013,CUTTACK,Potato,12
07-01-2013,SAMBALPUR,Potato,12
07-01-2013,KOLKATA,Potato,11
07-01-2013,SILIGURI,Potato,10
