state,date,rainfall,price
,04-01-2013,,13
odisha,04-01-2013,,13
odisha,04-01-2013,,13
west bengal,04-01-2013,2.5,11
,04-01-2013,,10
,04-01-2013,,24
,04-01-2013,,
,04-01-2013,,10
,04-01-2013,,18
,04-01-2013,,30
nagaland,04-01-2013,,20
,04-01-2013,,18
,04-01-2013,,21
,04-01-2013,,21
karnataka,04-01-2013,2.4,18
,04-01-2013,,27
kerala,04-01-2013,3.9,27
kerala,04-01-2013,3.9,23
puducherry,04-01-2013,,24
tamil nadu,04-01-2013,3.9,20
tamil nadu,04-01-2013,3.9,25
,04-01-2013,,20
telangana,04-01-2013,2.4,20
chandigarh,07-01-2013,,9
,07-01-2013,,10
haryana,07-01-2013,21.1,9
haryana,07-01-2013,21.1,9
himachal pradesh,07-01-2013,79.9,
himachal pradesh,07-01-2013,79.9,16
jammu kashmir,07-01-2013,,20
jammu kashmir,07-01-2013,,15
punjab,07-01-2013,9.3,10
punjab,07-01-2013,9.3,10
punjab,07-01-2013,9.3,6
uttar pradesh,07-01-2013,6.1,10
,07-01-2013,,8
uttar pradesh,07-01-2013,6.1,10
uttar pradesh,07-01-2013,6.1,8
uttarakhand,07-01-2013,73,12
chhattisgarh,07-01-2013,2.8,16
,07-01-2013,,
gujarat,07-01-2013,0,18
gujarat,07-01-2013,0,18
madhya pradesh,07-01-2013,1.7,15
madhya pradesh,07-01-2013,1.7,15
madhya pradesh,07-01-2013,1.7,
madhya pradesh,07-01-2013,1.7,14
,07-01-2013,,22
maharashtra,07-01-2013,0.1,17
rajasthan,07-01-2013,1.4,10
rajasthan,07-01-2013,1.4,12
rajasthan,07-01-2013,1.4,7
bihar,07-01-2013,5.1,13
bihar,07-01-2013,5.1,8
jharkhand,07-01-2013,1.1,
,07-01-2013,,12
odisha,07-01-2013,,12
odisha,07-01-2013,,12
west bengal,07-01-2013,2.5,11
,07-01-2013,,10
,07-01-2013,,
,07-01-2013,,
,07-01-2013,,10
,07-01-2013,,18
,07-01-2013,,
nagaland,07-01-2013,,20
,07-01-2013,,18
,07-01-2013,,19
,07-01-2013,,21
karnataka,07-01-2013,2.4,15
,07-01-2013,,27
kerala,07-01-2013,3.9,27
kerala,07-01-2013,3.9,23
puducherry,07-01-2013,,22
tamil nadu,07-01-2013,3.9,20
tamil nadu,07-01-2013,3.9,25
,07-01-2013,,20
telangana,07-01-2013,2.4,18
chandigarh,08-01-2013,,9
,08-01-2013,,10
haryana,08-01-2013,21.1,9
haryana,08-01-2013,21.1,9
himachal pradesh,08-01-2013,79.9,10
himachal pradesh,08-01-2013,79.9,16
jammu kashmir,08-01-2013,,20
jammu kashmir,08-01-2013,,15
punjab,08-01-2013,9.3,10
punjab,08-01-2013,9.3,
punjab,08-01-2013,9.3,6
uttar pradesh,08-01-2013,6.1,10
,08-01-2013,,8
uttar pradesh,08-01-2013,6.1,10
uttar pradesh,08-01-2013,6.1,8
uttarakhand,08-01-2013,73,12
chhattisgarh,08-01-2013,2.8,16
,08-01-2013,,
gujarat,08-01-2013,0,18
gujarat,08-01-2013,0,18
madhya pradesh,08-01-2013,1.7,15
madhya pradesh,08-01-2013,1.7,15
madhya pradesh,08-01-2013,1.7,20
madhya pradesh,08-01-2013,1.7,14
,08-01-2013,,25
maharashtra,08-01-2013,0.1,15
rajasthan,08-01-2013,1.4,10
rajasthan,08-01-2013,1.4,
rajasthan,08-01-2013,1.4,7
bihar,08-01-2013,5.1,13
bihar,08-01-2013,5.1,8
jharkhand,08-01-2013,1.1,
,08-01-2013,,12
odisha,08-01-2013,,12
odisha,08-01-2013,,12
west bengal,08-01-2013,2.5,11
,08-01-2013,,
,08-01-2013,,24
,08-01-2013,,
,08-01-2013,,10
,08-01-2013,,18
,08-01-2013,,30
nagaland,08-01-2013,,20
,08-01-2013,,18
,08-01-2013,,17
,08-01-2013,,21
karnataka,08-01-2013,2.4,15
,08-01-2013,,27
kerala,08-01-2013,3.9,27
kerala,08-01-2013,3.9,23
puducherry,08-01-2013,,20
tamil nadu,08-01-2013,3.9,20
tamil nadu,08-01-2013,3.9,25
,08-01-2013,,20
telangana,08-01-2013,2.4,18
chandigarh,09-01-2013,,9
,09-01-2013,,10
haryana,09-01-2013,21.1,9
haryana,09-01-2013,21.1,10
himachal pradesh,09-01-2013,79.9,10
himachal pradesh,09-01-2013,79.9,16
jammu kashmir,09-01-2013,,20
jammu kashmir,09-01-2013,,15
punjab,09-01-2013,9.3,10
punjab,09-01-2013,9.3,10
punjab,09-01-2013,9.3,9
uttar pradesh,09-01-2013,6.1,10
,09-01-2013,,8
uttar pradesh,09-01-2013,6.1,10
uttar pradesh,09-01-2013,6.1,8
uttarakhand,09-01-2013,73,
chhattisgarh,09-01-2013,2.8,16
,09-01-2013,,
gujarat,09-01-2013,0,18
gujarat,09-01-2013,0,10
madhya pradesh,09-01-2013,1.7,15
madhya pradesh,09-01-2013,1.7,15
madhya pradesh,09-01-2013,1.7,
madhya pradesh,09-01-2013,1.7,14
,09-01-2013,,22
maharashtra,09-01-2013,0.1,15
rajasthan,09-01-2013,1.4,10
rajasthan,09-01-2013,1.4,12
rajasthan,09-01-2013,1.4,7
bihar,09-01-2013,5.1,13
bihar,09-01-2013,5.1,
jharkhand,09-01-2013,1.1,12
,09-01-2013,,12
odisha,09-01-2013,,12
odisha,09-01-2013,,12
west bengal,09-01-2013,2.5,11
,09-01-2013,,10
,09-01-2013,,24
,09-01-2013,,
